z_A,planar_electrostatic_potential_eV
36.51409040443037,-0.9427076
36.62276329253879,-0.94270045
36.731436180647215,-0.94269836
36.84010906875564,-0.9426779
36.94878195686406,-0.94267565
37.05745484497248,-0.9426687
37.166127733080906,-0.9426664
37.274800621189335,-0.9426538
37.38347350929776,-0.9426388
37.49214639740618,-0.94263655
37.6008192855146,-0.9426295
37.709492173623026,-0.9426271
37.81816506173145,-0.9426262
37.92683794983987,-0.94262385
38.0355108379483,-0.9426167
38.144183726056724,-0.9426143
38.25285661416515,-0.942588
38.36152950227357,-0.9425855
38.47020239038199,-0.9425784
38.578875278490415,-0.94257593
38.68754816659884,-0.94255537
38.79622105470727,-0.9425529
38.90489394281569,-0.94254565
39.01356683092411,-0.94254065
39.122239719032535,-0.9425164
39.23091260714096,-0.9425096
39.33958549524938,-0.9425057
39.4482583833578,-0.9425047
39.55693127146623,-0.9425023
39.665604159574656,-0.942495
39.77427704768308,-0.94249237
39.8829499357915,-0.9424658
39.991622823899924,-0.9424633
40.10029571200835,-0.94245535
40.20896860011677,-0.9424341
40.3176414882252,-0.9424314
40.42631437633362,-0.942424
40.534987264442044,-0.9424213
40.64366015255047,-0.94239485
40.75233304065889,-0.94238716
40.86100592876731,-0.9423836
40.969678816875735,-0.94238245
41.078351704984165,-0.9423797
41.18702459309259,-0.9423721
41.29569748120101,-0.94234437
41.40437036930943,-0.94234174
41.513043257417856,-0.94233423
41.62171614552628,-0.9423244
41.73038903363471,-0.9423093
41.83906192174313,-0.9423018
41.94773480985155,-0.9422992
42.056407697959976,-0.9422711
42.1650805860684,-0.94226366
42.27375347417682,-0.94226086
42.382426362285244,-0.9422583
42.491099250393674,-0.94225085
42.5997721385021,-0.94224805
42.70844502661052,-0.94222
42.81711791471894,-0.94221234
42.925790802827365,-0.9422093
43.03446369093579,-0.94218725
43.14313657904421,-0.94217956
43.25180946715264,-0.9421536
43.36048235526106,-0.9421487
